Procedure,Step ID,Step description,Operator raw,Operator,Duration (ms),Cogulator type (mapped),VACP channel,VACP weight,VACP descriptor,Notes,,,,,Note,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,Look at thermometer reading,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,Proofread the thermometer,proofread,,Perceptual,V,5.9,Visually read (V6),,,,,,,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,Store <the thermometer reading>,store,,Cognitive,C,5.3,"Encoding/Decoding, recall (C5)",,,,,,,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,Verify at desired temperature,verify,,Cognitive,C,4.6,Evaluation/Judgment single aspect (C4),,,,,,,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,grasp thermometer,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,move thermometer out of centrifuge tube (3708 milliseconds),move,3708,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,grasp towel,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,Move towel to the thermometer (4392 milliseconds),move,4392,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,Wipe thermometer (768 milliseconds),wipe,768,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,Move thermometer to table (4392 milliseconds),move,4392,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,move centrifuge lid opened  (3204 milliseconds),move,3204,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,grasp centrifuge tube 1,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,move centrifuge tube 1 in centrifuge (4860 milliseconds),move,4860,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,grasp centrifuge tube 2,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,move centrifuge tube 2 in centrifuge (4860 milliseconds),move,4860,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,move centrifuge lid closed (3204 milliseconds),move,3204,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,Turn centrifuge lid closed (3060 milliseconds),turn,3060,Motor,P,5.8,Discrete adjustment (P5),,,,,,,
Centrifuge task,5,Spin the centrifuge for five minutes tests at 70 percent power.,Read < desired power>,read,,Perceptual,V,5.9,Visually read (V6),,,,,,,
Centrifuge task,5,Spin the centrifuge for five minutes tests at 70 percent power.,Grasp the power knob,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,5,Spin the centrifuge for five minutes tests at 70 percent power.,Turn centrifuge power (3060 milliseconds),turn,3060,Motor,P,5.8,Discrete adjustment (P5),,,,,,,
Centrifuge task,5,Spin the centrifuge for five minutes tests at 70 percent power.,look at procedure,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,5,Spin the centrifuge for five minutes tests at 70 percent power.,grasp procedure,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,5,Spin the centrifuge for five minutes tests at 70 percent power.,grasp pencil,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,5,Spin the centrifuge for five minutes tests at 70 percent power.,Look at the tube1,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,5,Spin the centrifuge for five minutes tests at 70 percent power.,write (check off the procedure),write,,Motor,P,6.5,Symbolic production (writing) (P6),,,,,,,
Centrifuge task,5,Spin the centrifuge for five minutes tests at 70 percent power.,flip to second page (3000 milliseconds),flip,3000,Motor,P,0,Manipulation (P4) [page flip],,,,,,,
Centrifuge task,5,Spin the centrifuge for five minutes tests at 70 percent power.,read procedure (9746 milliseconds),read,9746,Perceptual,V,5.9,Visually read (V6),,,,,,,
Centrifuge task,5,Spin the centrifuge for five minutes tests at 70 percent power.,Release procedure,release,,Motor,P,2.2,Discrete actuation (P2) [assumption],,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,Grasp centrifuge power,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,Twist centrifuge power (3 seconds),twist,3000,Motor,P,5.8,Discrete adjustment (P5),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,Wait for the centrifuge to stop spinning,wait,,System,,0,No activity (V0/A0/C0/P0),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,Turn centrifuge lid open (3060 milliseconds),turn,3060,Motor,P,5.8,Discrete adjustment (P5),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,Move centrifuge lid open  (1656 milliseconds),move,1656,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,Look at centrifuge,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,Verify if it the centrifuge stopped spinning *if not repeat,verify,,Cognitive,C,4.6,Evaluation/Judgment single aspect (C4),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,Turn centrifuge lid closed (3060 milliseconds),turn,3060,Motor,P,5.8,Discrete adjustment (P5),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,Wait for the centrifuge to stop spinning,wait,,System,,0,No activity (V0/A0/C0/P0),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,Move centrifuge lid open  (3204 milliseconds),move,3204,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,look at centrifuge tube,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,grasp centrifuge tray,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,Grasp centrifuge tube1,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,look at sample in centrifuge tube1,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,Read the sediment for tube1 (9746 milliseconds),read,9746,Perceptual,V,5.9,Visually read (V6),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,Store <sediment> for tube1,store,,Cognitive,C,5.3,"Encoding/Decoding, recall (C5)",,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,move centrifuge tube 1 in tray (4860 milliseconds),move,4860,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,look at sample in centrifuge tube2,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,Grasp centrifuge tube2,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,look at sample in centrifuge tube2,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,Read the sediment for tube2 (9746 milliseconds),read,9746,Perceptual,V,5.9,Visually read (V6),,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,Store <sediment> for tube2,store,,Cognitive,C,5.3,"Encoding/Decoding, recall (C5)",,,,,,,
Centrifuge task,6,Obtain readings of combined basic sediment and water in percentages from the tube to the nearest 0.1 ml.,move centrifuge tube 2 in tray (4860 milliseconds),move,4860,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,7,Average the results from the two different tubes.,Grasp right glove,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,7,Average the results from the two different tubes.,Move right glove out of hand (1296 milliseconds),move,1296,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,7,Average the results from the two different tubes.,look at procedure,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,7,Average the results from the two different tubes.,grasp procedure,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,7,Average the results from the two different tubes.,read procedure (9746 milliseconds),read,9746,Perceptual,V,5.9,Visually read (V6),,,,,,,
Centrifuge task,7,Average the results from the two different tubes.,flip to second page (3000 milliseconds),flip,3000,Motor,P,0,Manipulation (P4) [page flip],,,,,,,
Centrifuge task,7,Average the results from the two different tubes.,Release procedure,release,,Motor,P,2.2,Discrete actuation (P2) [assumption],,,,,,,
Centrifuge task,7,Average the results from the two different tubes.,grasp pencil,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,7,Average the results from the two different tubes.,write the sediments on procedure,write,,Motor,P,6.5,Symbolic production (writing) (P6),,,,,,,
Centrifuge task,7,Average the results from the two different tubes.,Think to calculate the average,think,,Cognitive,C,7,"Estimation, calculation, conversion (C7)",,,,,,,
Centrifuge task,7,Average the results from the two different tubes.,Grasp glove,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,7,Average the results from the two different tubes.,Move the gloves onto the right hand (1296 milliseconds),move,1296,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,8,"If your results are questionable, take two more samples.",Look at results,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,8,"If your results are questionable, take two more samples.",recall <threshold>,recall,,Cognitive,C,5.3,"Encoding/Decoding, recall (C5)",,,,,,,
Centrifuge task,8,"If your results are questionable, take two more samples.",verify results are not questionnable <threshold>,verify,,Cognitive,C,4.6,Evaluation/Judgment single aspect (C4),,,,,,,
